Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Menopause,"Hot flashes, night sweats, mood swings, vaginal dryness, sleep disturbances","Approximately 6,000 women in the USA reach menopause each day, totaling around 1.3 million women annually.",0.0001,0.00009,0.00008,0.00007,0.00006,2100,2062.868369,2075.098814,2005.730659,1944.444444,"Estimated annual costs for hormone replacement therapy, including patches, can range from $1,200 to $3,000 depending on insurance and specific treatments.",Quality of life can significantly decrease during menopause due to symptoms impacting daily activities and mental health.,75.25,,Clinical trials have shown hormone replacement therapy to effectively reduce hot flashes and other symptoms in 7080% of women.,"Generally considered safe for most women when prescribed correctly; however, longterm use carries some risks.","Common adverse events include skin reactions at the patch site, headaches, breast tenderness, and gastrointestinal symptoms.","Typically prescribed for women aged 4555, but can be used in those undergoing premature menopause.",Female,Hormone replacement therapy (HRT)  transdermal patch.,406000000,402400000,398800000,395200000,391600000,50251473.48,24360,58451383.4,28168,63990830.95,31904,69160000,35568
Metastatic Breast Cancer,"Breast lump, pain in the breast or chest, swelling of the breast, changes in breast shape, and metastasis symptoms depending on affected organs (e.g., bone pain, respiratory issues).","Approximately 30% of women diagnosed with breast cancer develop metastatic breast cancer, translating to roughly 160,000 women in the USA currently living with metastatic breast cancer.",0.3,0.29999,0.29998,0.29997,0.29996,130000,127701.3752,128458.498,124164.2789,120370.3704,"Approximately $130,000 per year for IBRANCE treatment.","Patients may experience a reduced quality of life due to symptoms, treatment side effects, and psychological impact. However, disease control with IBRANCE can improve quality of life for some patients.",0.6,5.28,"In clinical studies, the combination of IBRANCE with aromatase inhibitors showed a median progressionfree survival of about 24 months compared to the control groups.","Generally considered safe, with a welldefined safety profile; the benefits often outweigh the risks for most patients.","Common adverse events include neutropenia (58%), fatigue (32%), nausea (27%), and diarrhea (24%).","Primarily used in adult women, typically aged 4075 years.","Predominantly prescribed for women, though men can also develop breast cancer.","Small molecule, specifically a CDK4/6 inhibitor.",196620000,194820000,193020000,191220000,189420000,7.53159E+12,58978135.2,7.50713E+12,58440155.4,7.18938E+12,57902139.6,6.90494E+12,57364087.8
Methemoglobinemia,"Cyanosis, fatigue, shortness of breath, dizziness, headache, increased heart rate","Approximately 1 in 50,000 to 1 in 100,000 live births in the USA",0.000015,0.000005,0.000005,0.000015,0.000025,1750,1719.056974,1729.249012,1671.442216,1620.37037,"Approximately $1,000 to $2,500 (depends on hospital and location)","Patients can experience significant improvements in quality of life if treated promptly, as symptoms can be debilitating",0.3,0.01,"Methylene blue is generally effective, with response rates around 80% in acute cases",Generally considered safe when administered correctly; contraindicated in patients with G6PD deficiency,"Headache, dizziness, urine discoloration (blue/green), gastrointestinal disturbances",All age groups; most commonly seen in infants,Both genders equally affected,Small molecule injectable therapy,369010909.1,365732121.2,362453333.3,359174545.5,355895757.6,15858769.42,9225.272728,9486628.638,5485.981818,3029099.013,1812.266667,2909978.957,1795.872728
Motion Sickness,"Nausea, vomiting, dizziness, sweating, and overall discomfort during travel.",Approximately 30% of adults report experiencing motion sickness at some point in their lives in the USA.,0.3,0.29999,0.29998,0.29997,0.29996,250,245.5795678,247.0355731,238.7774594,231.4814815,Approximately $200$300 depending on insurance coverage and frequency of use.,"Significant improvement in quality of life for affected individuals, as it allows them to travel without discomfort.",0.2,0,70%80% effective in preventing the onset of nausea and vomiting associated with motion sickness when used correctly.,Generally regarded as safe for use when administered as directed; side effects may occur but are typically manageable.,"Common adverse events can include dry mouth, drowsiness, blurred vision, and constipation.",Adults and children aged 2 years and older (with dosage adjustment for children).,"Both genders are affected, with a slightly higher prevalence in females.",Transdermal patch (anticholinergic agent).,353974117.6,350825882.4,347677647.1,344529411.8,341381176.5,26075166089,106178076.3,25997341883,105237239.9,24903615229,104296340.6,23924856075,103355378.2
Narcolepsy,"Excessive daytime sleepiness, cataplexy (sudden loss of muscle tone), sleep paralysis, hallucinations, disrupted nighttime sleep","Approximately 0.02% of the population (about 1 in 5,000 people)",0.0002,0.00019,0.00018,0.00017,0.00016,14375,14120.82515,14204.54545,13729.70392,13310.18519,"Approximately CHF 10,000  CHF 15,000 per year",Significantly impacted; reduced due to excessive daytime sleepiness and unpredictable episodes of cataplexy,0.4,0.15,Effective in reducing excessive daytime sleepiness and cataplexy episodes in many patients; clinical studies show a reduction in symptoms of over 50% in many cases,"Generally considered safe when used under medical supervision, but risk of abuse and dependence exists","Common adverse events include dizziness, headache, nausea, and possible sleep disturbances; serious risks include respiratory depression and cardiovascular issues in vulnerable populations","Primarily diagnosed in adolescents and young adults, but can occur at any age","Affects both males and females, but cataplexy may be more prominent in females",Small molecules (sodium oxybate),263851428.6,261485714.3,259120000,256754285.7,254388571.4,596127982.1,42216.22858,631428571.5,44452.57143,640375358.2,46641.6,649314947.1,48783.31428
Nasal Congestion,"Stuffy or blocked nose, sinus pressure, runny nose, postnasal drip, sneezing",Approximately 20% of the US population experiences nasal congestion at least once per year,0.2,0.19999,0.19998,0.19997,0.19996,150,147.3477407,148.2213439,143.2664756,138.8888889,"Approximately $100  $200, depending on dosage and frequency of use","Can significantly impact daily activities, sleep quality, and overall wellbeing when symptoms are severe",0.25,0,Generally effective for temporary relief of nasal congestion (7080% effective in reducing symptoms),Considered safe for shortterm use; longterm safety data is limited due to potential for misuse,"Commonly reported events include insomnia, nervousness, restlessness, and increased heart rate; serious adverse events are rare","Commonly used in all age groups, but specific caution is advised for children under 12 and individuals over 65",Equally effective in both genders,Small molecules (oral decongestant),371320000,368028571.4,364737142.9,361445714.3,358154285.7,10940444086,74249147.2,10908301397,73594673.42,10449875908,72940133.84,10039656723,72285528.4
Nasal Polyps,"Nasal congestion, loss of smell, nasal discharge, facial pain or pressure, and difficulty breathing through the nose.",Approximately 14% of the general population in the USA has nasal polyps.,0.025,0.02499,0.02498,0.02497,0.02496,750,736.7387033,741.1067194,716.3323782,694.4444444,"The annual therapy costs can range from $500 to $1,000 depending on dosage and insurance coverage.","Nasal polyps can significantly impact quality of life, affecting sleep, social interactions, and physical activity.",0.3,,Clinical studies show that XHANCE (fluticasone propionate) effectively reduces polyp size and improves symptoms in over 50% of patients with nasal polyps.,"Generally considered safe when used as directed, with a favorable safety profile.","Common adverse events include nasal irritation, headache, nosebleeds, and potential systemic effects of corticosteroids such as adrenal suppression, though rare.",Approved for adult use (age 18 and older).,No significant gender differences in prevalence or treatment response noted.,Small molecules (specifically a corticosteroid).,243882666.7,241733333.3,239584000,237434666.7,235285333.3,4484757879,6087311.361,4473380434,6036081.333,4287111977,5984808.32,4120480778,5933492.321
Nocturia,"Frequent urination during the night, leading to disturbed sleep",Approximately 1020% of adults in the USA experience nocturia,0.15,0.14999,0.14998,0.14997,0.14996,1600,1571.709234,1581.027668,1528.17574,1481.481481,"Approximately $1,200  $2,000 depending on insurance coverage and patient outofpocket expenses","Significant impact on sleep quality and overall wellbeing, often leading to fatigue and decreased daily functioning",0.3,,"Clinical studies show that NOCDURNA (desmopressin) is effective in reducing nocturnal urine production, with about 4050% of patients experiencing significant improvement","Generally welltolerated; however, monitoring is needed for water retention and electrolyte imbalances","Common adverse events include headache, nausea, and abdominal pain; serious adverse effects can include hyponatremia and seizures","Primarily in adults, commonly affecting individuals aged 50 and older","Affects both men and women, but may be more prevalent in males due to prostate issues",Small molecule (specifically a synthetic analog of vasopressin),240160000,238000000,235840000,233680000,231520000,56604154971,36014393.6,56431399209,35692860,54053536886,35371283.2,51925426963,35049663.2
Opioid Overdose,"Respiratory depression, loss of consciousness, pinpoint pupils, decreased heart rate, and potentially death","In 2021, approximately 100,000 fatal overdoses occurred in the USA, with opioid overdoses being a significant portion of this number; opioid misuse affects millions, with estimates indicating around 2 million individuals having an opioid use disorder.",0.00003,0.00002,0.00001,0,0.00001,150,147.3477407,148.2213439,143.2664756,138.8888889,"Naloxone can cost around $100$200 per dose, depending on insurance and pharmacy; availability of generic options may lower these costs.",Improved quality of life for individuals at risk of overdose when naloxone is administered promptly; contributes to harm reduction and supports recovery efforts.,60.7,0.9,Naloxone is highly effective in reversing opioid overdose when administered timely; studies show effective reversal in over 90% of cases with proper administration.,"Generally regarded as safe; naloxone has a favorable safety profile, with minimal side effects in cases of accidental administration in nonopioid users.","Symptoms may include opioid withdrawal in dependent individuals, such as agitation, nausea, vomiting, and rapid heart rate; however, serious adverse events are rare.","All age groups, particularly among individuals at high risk for opioid overdose, including young adults and older adults.","Affects all genders, with some studies indicating higher rates of opioid use disorder in males compared to females, but overdose rates have increased in both sexes.",Small molecules (specifically an opioid antagonist).,356640000,353500000,350360000,347220000,344080000,525500.9823,3566.4,525500.9823,0,501948.4241,3503.6,964500,6944.4
Oral Lichen Planus,"Painful white lesions in the mouth, burning sensation, ulcerations, sensitivity to certain spices or foods, difficulty eating",Approximately 0.5% to 2% of the general population in the USA,0.0125,0.01249,0.01248,0.01247,0.01246,500,491.1591356,494.0711462,477.5549188,462.962963,Estimated at around $400 to $600 depending on frequency of prescription and insurance coverage,"Significantly impacted due to pain and discomfort, affecting eating and speaking",0.15,0,Generally effective in reducing inflammation and pain; varies by individual,Generally considered safe for shortterm use; longterm safety not well established,"Possible side effects include local irritation, burning sensations, and allergic reactions","Adults, most commonly seen in individuals aged 30 to 60","More prevalent in women than men, with a ratio of approximately 2:1",Topical corticosteroid (small molecule),233050000,230970000,228890000,226810000,224730000,1426229371,2903803,1423021690,2880195.9,1364158166,2856547.2,1311507824,2832856.9
Paroxysmal Supraventricular Tachycardia (PSVT),"Palpitations, dizziness, shortness of breath, chest pain, or fainting",Approximately 23% of the general population in the USA,0.025,0.02499,0.02498,0.02497,0.02496,600,589.3909627,592.8853755,573.0659026,555.5555556,"Approximately $200  $1,000 per year depending on frequency of use and healthcare settings",Varies; can be significantly affected during episodes but generally good with proper management,0.05,0.01,High; adenosine effectively normalizes heart rhythm in PSVT cases within seconds to minutes,Generally safe when administered appropriately; rapid IV administration should be done cautiously,"Transient flushing, chest discomfort, headache, hypotension, or asystole (brief pause in heart function)","Adults, commonly in the 2060 year age range","Affects both genders, though may be more prevalent in men","Small molecule, specifically an endogenous nucleoside and cardiology acute intervention therapy",250800000,248600000,246400000,244200000,242000000,3689568566,6259968,3680360870,6207542,3527261891,6155072,3390310000,6102558
Patent Ductus Arteriosus (PDA),"Often asymptomatic but may include difficulty breathing, rapid heart rate, and poor feeding in infants","Approximately 1 in 2,000 live births in the USA",0.0005,0.00049,0.00048,0.00047,0.00046,80000,78585.46169,79051.3834,76408.78701,74074.07407,"Approximately $60,000 to $100,000, depending on the treatment regimen and hospital costs","Can significantly improve quality of life by closing the ductus arteriosus, allowing for better circulation",0.1,0.01,"High efficacy in closing PDA, with reported closure rates greater than 80%",Generally considered safe when monitored; side effects are manageable,"Common adverse events include gastrointestinal issues, renal impairment, and potential bleeding complications",Primarily used in premature infants and newborns,No genderspecific preferences; used for both males and females,Nonsteroidal antiinflammatory drug (NSAID),406000000,402400000,398800000,395200000,391600000,14676620825,186760,14950830040,189128,14626475645,191424,14344296296,193648
Peanut Allergy,"Symptoms of peanut allergy can include hives, swelling, difficulty breathing, wheezing, stomach pain, nausea, vomiting, and in severe cases, anaphylaxis.","Approximately 12% of the US population is affected by peanut allergies, with higher prevalence in children.",0.015,0.01499,0.01498,0.01497,0.01496,9000,8840.86444,8893.280632,8595.988539,8333.333333,"The estimated annual therapy costs for PALFORZIA can range from $6,000 to $12,000 depending on dosage and health insurance coverage.",Quality of life can be significantly impacted by peanut allergies due to dietary restrictions and anxiety surrounding accidental exposure.,0.3,1.05,"Clinical studies indicate that PALFORZIA can desensitize patients to peanuts, with efficacy rates around 60% in achieving a sustained reactionfree dose upon exposure.","PALFORZIA is generally welltolerated; however, it may cause allergic reactions, with most occurring within the first few doses during updosing.","Common adverse events include throat irritation, stomach pain, nausea, oral pruritus, and allergic reactions, including anaphylaxis in rare cases.","Indicated for patients aged 417 years, but may be used in adults under certain circumstances as part of treatment.","Peanut allergies affect both males and females, though some studies indicate a slightly higher prevalence in males during childhood.","Biologics (specifically, an oral immunotherapy).",240160000,238000000,235840000,233680000,231520000,31763401179,3592793.6,31685513834,3562860,30368623496,3532883.2,29190526667,3502863.2
Peptic Ulcer Disease,"Abdominal pain, bloating, indigestion, nausea, loss of appetite, weight loss.",Approximately 4.5 million adults in the USA experience peptic ulcers at some point in their lives.,0.00001,0,0.00001,0.00002,0.00003,450,442.043222,444.6640316,429.7994269,416.6666667,Approximately $300$600 annually depending on dosage and regimen.,"Quality of life can be significantly affected due to pain and discomfort, impacting dietary habits and daily activities.",0.2,0.12,Sucralfate is effective in healing ulcers with a healing rate of about 7090% over a treatment course of 48 weeks.,"Generally considered safe for shortterm use, with minimal systemic absorption.","Common adverse events include constipation (up to 2%) and minor gastrointestinal discomfort. Rarely, hypersensitivity reactions may occur.","Primarily affects adults, typically age 30 and older.","More common in men, but women are also significantly affected; overall incidence is increasing in postmenopausal women.","Small molecule drug, specifically a gastroprotective agent.",406000000,402400000,398800000,395200000,391600000,5384086.444,12180,3578656.126,8048,1714040.115,3988,2714040.115,0
Peripheral Tcell Lymphoma (PTCL),"Lymphadenopathy, fever, night sweats, weight loss, pruritus, fatigue, skin lesions","Approximately 9,000 new cases of PTCL in the USA annually",0.00003,0.00002,0.00001,0,0.00001,120000,117878.1925,118577.0751,114613.1805,111111.1111,"Approximately $90,000 to $150,000 depending on treatment plan and duration","Significantly impacted due to symptoms and treatment side effects; may experience fatigue, emotional distress, and social isolation",0.2,30530.4,FOLOTYN (pralatrexate) has shown response rates of around 29% in patients with relapsed or refractory PTCL,"Generally welltolerated, but can cause myelosuppression; close monitoring is advised","Common adverse events include mucositis, fatigue, nausea, diarrhea, and myelosuppression","Primarily adults, with a median age of diagnosis around 60 years",More common in males than females (approximately 2:1 ratio),Small molecule (antimetabolite; specifically a folate antagonist),323080000,320200000,317320000,314440000,311560000,380840864.4,3230.8,480840864.4,0,363690544.4,3173.2,698755555.6,6288.8
Phenylketonuria (PKU),"Intellectual disability, developmental delays, behavioral problems, seizures, skin rashes, and musty odor in urine.","Approximately 1 in 10,000 newborns in Switzerland.",0.0001,0.00009,0.00008,0.00007,0.00006,17250,16944.99018,17045.45455,16475.6447,15972.22222,"Approximately CHF 12,000  CHF 18,000 per year, depending on dietary management and supplementation.","Can significantly improve quality of life when treatment is followed; however, strict dietary management is often required.",0.2,0.01,Approximately 7090% reduction in phenylalanine levels in patients on therapy.,Generally welltolerated with a favorable safety profile.,"Mild gastrointestinal disturbances, headache, fatigue, and allergic reactions (rare).",Pediatric and adults (typically diagnosed in infants but requires lifelong management).,Both males and females are equally affected.,Small molecules (specifically a pharmaceutical form of Lphenylalanine) used in conjunction with dietary modifications.,350720000,347600000,344480000,341360000,338240000,356576817.3,21043.2,414750000,24332,454042406.9,27558.4,490705000,30722.4
Pheochromocytoma,"Episodes of sweating, rapid heartbeat, high blood pressure, headaches, palpitations, anxiety, and flushing.",Approximately 28 cases per million people per year in the USA.,0.000005,0.000005,0.000015,0.000025,0.000035,1000,982.3182711,988.1422925,955.1098376,925.9259259,"Approximately $5001500 annually, depending on the treatment regimen and insurance coverage.","Significant improvement in quality of life can be observed when symptoms are managed effectively, allowing individuals to function normally.",20.3,5.18,"Highly effective for controlling symptoms associated with excess catecholamines, particularly in patients with pheochromocytoma or similar conditions.","Generally safe; however, it is not without risks, and should be monitored.","Common adverse events include hypotension, dizziness, nasal congestion, and fatigue. Serious events may include arrhythmias and orthostatic hypotension.",Primarily adults (most common in individuals aged 3050).,"Occurs equally in both males and females, though some studies suggest a slightly higher prevalence in females.",Small molecule antagonist (nonselective alphaadrenergic antagonist).,321494545.5,318645454.5,315796363.6,312947272.7,310098181.8,11053348.81,11252.30909,7871676.248,7966.136363,4524303.203,4736.945454,1448829.966,1564.736364
Postherpetic Neuralgia,"Persistent pain following shingles (herpes zoster) infection, typically localized to the area where the shingles rash occurred; can include burning, stabbing, or aching sensations.","Approximately 13% of the U.S. population per year develops shingles, and around 1020% of shingles patients may go on to develop postherpetic neuralgia.",0.15,0.14999,0.14998,0.14997,0.14996,2100,2062.868369,2075.098814,2005.730659,1944.444444,"Estimated annual costs of therapy can range from $1,200 to $3,000, depending on insurance coverage and copays.","Chronic pain can significantly impact daily activities, sleep, and emotional wellbeing, leading to decreased overall quality of life.",15.3,0,"Clinical studies suggest GRALISE (gabapentin) provides moderate pain relief for postherpetic neuralgia, with about 3050% of patients experiencing a significant reduction in pain.","Generally safe when prescribed, but caution is advised in patients with renal impairment; routine monitoring may be required.","Common adverse events include dizziness, drowsiness, peripheral edema, dry mouth, and fatigue. Rarely, there may be severe allergic reactions, or respiratory depression in cases of overdose.","Most commonly prescribed for adults aged 50 and older, particularly those who have had shingles.","There is a slight female predominance in prevalence, but both genders are affected.",Small molecule (Gabapentin).,240160000,238000000,235840000,233680000,231520000,74292953399,36014393.6,74066211462,35692860,70945267163,35371283.2,68152122889,35049663.2
Postpartum Depression,"Depressed mood, loss of interest or pleasure, fatigue, anxiety, changes in sleep or appetite, feelings of guilt or worthlessness, difficulty concentrating, suicidal thoughts",Approximately 1015% of women postpartum in the USA,0.125,0.12499,0.12498,0.12497,0.12496,10000,9823.182711,9881.422925,9551.098376,9259.259259,"Estimated around $8,000 to $12,000 depending on insurance coverage and outofpocket costs",Significantly impaired due to emotional distress and difficulties in caring for newborns,20.3,0.01,Studies indicate ZURZUVAE (zuranolone) has an efficacy rate of around 80% in significantly reducing depressive symptoms compared to placebo,"Generally welltolerated; however, the safety profile is still under evaluation as more data becomes available","Common adverse events include sedation, dizziness, headache, and somnolence",Primarily women of childbearing age (1845 years),Female,Small molecule (neurosteroid),268631578.9,266250526.3,263869473.7,261488421.1,259107368.4,3.29747E+11,33568202.1,3.28788E+11,33273328.27,3.1498E+11,32978406.82,3.02624E+11,32683437.75
Premenstrual Dysphoric Disorder (PMDD),"Severe mood swings, irritability, depression, anxiety, fatigue, sleep disturbances, physical symptoms like breast tenderness, headaches, and bloating.",Approximately 38% of women in reproductive age in Italy.,0.055,0.05499,0.05498,0.05497,0.05496,640,628.6836935,632.4110672,611.2702961,592.5925926,"6001200, depending on treatment duration and specific medication formulations.",Significant impairment in daily functioning and quality of life during menstrual cycles.,0.15,0.01,Approximately 6070% of patients experience symptom relief with proper treatment.,Generally considered safe but requires monitoring for hormonerelated side effects.,"Headaches, weight gain, mood changes, breast tenderness; less common events include increased risk of thrombosis and liver dysfunction.",Primarily affects women aged 1845 years.,Female.,Hormonal therapy (small molecules).,103677000,102731000,101785000,100839000,99893000,3582294960,5698087.92,3571303127,5647123.07,3420753727,5596139.3,3286006880,5545136.61
Presbyopia,"Difficulty focusing on close objects, eyestrain, blurred vision at normal reading distance",Approximately 128 million individuals (ages 40 and older) in the USA,0.0001,0.00009,0.00008,0.00007,0.00006,1800,1768.172888,1778.656126,1719.197708,1666.666667,"Approximately $1,200  $2,400 (cost may vary based on insurance and usage frequency)","Significant impact due to difficulties in reading, using smartphones, and engaging in hobbies; can lead to decreased life satisfaction",1,,Clinical studies indicate around 75% of patients experience improved near vision without compromising distance vision,Generally considered safe; has been associated with transient effects,"Common adverse events include instillation site pain, headache, and erythema in the eye; serious adverse events are rare",Primarily adults aged 40 and older,Affects all genders equally,Ophthalmic solution (specifically a miotic agent),133877777.8,132702222.2,131526666.7,130351111.1,129175555.6,14203143.42,8032.666668,16522213.44,9289.155554,18089627.51,10522.13334,19552666.67,11731.6
Prolactinoma,"Headaches, vision problems, irregular menstrual periods, galactorrhea (unexpected milk production), infertility, decreased libido in men","Approximately 1 in 1,000 adults in the UK",0.001,0.00099,0.00098,0.00097,0.00096,951,934.1846758,939.7233202,908.3094556,880.5555556,"Approximately £460  £1,000 per year depending on treatment regimen and healthcare costs","Can significantly improve quality of life when effectively managed, with resolution of symptoms leading to improved daily functioning",1,0,Approximately 7090% of patients experience tumor shrinkage and symptom relief,Generally welltolerated; considered safe when prescribed correctly,"Common adverse events include nausea, headache, dizziness, fatigue; rare events might include cardiac valve abnormalities","Primarily adults, typically between 2050 years","More common in females, but males can also be affected",Small molecule (dopamine agonist),346972500,343882500,340792500,337702500,334612500,311170936.7,333093.6,313459772.5,333566.025,303354149.1,333976.65,294392154.4,334325.475
Pseudobulbar Affect (PBA),"Sudden, uncontrollable episodes of laughing or crying, which may not match the individual's emotional state.","Approximately 2%3% of the population, higher in individuals with neurological disorders such as multiple sclerosis or amyotrophic lateral sclerosis (ALS).",0.025,0.02499,0.02498,0.02497,0.02496,8500,8349.705305,8399.209486,8118.43362,7870.37037,"Approximately $5,000  $12,000, depending on insurance and patient coverage.","Significant impairment due to frequent and unpredictable emotional outbursts, affecting social interactions and daily activities.",0.3,,Clinical studies show efficacy rates of approximately 30%50% improvement in frequency and severity of emotional episodes.,"Generally well tolerated; however, comprehensive evaluation of patient history is advised to prevent interactions.","Common adverse events include dizziness, somnolence, and diarrhea; serious adverse events are rare.","Typically prescribed for adults, primarily those over 18 years of age.","More frequently diagnosed in both males and females, with no significant gender predisposition noted.",Monoclonal antibody.,284016666.7,281513333.3,279010000,276506666.7,274003333.3,59191528494,7089056.001,59041301805,7029387.933,56582801624,6969669.8,54383484821,6909901.601
Pseudotumor Cerebri,"Headaches, visual disturbances, ringing in the ears (tinnitus), nausea, vomiting, and papilledema (swelling of the optic nerve).","Approximately 35 per 100,000 individuals in Italy; higher in females and obesity is a significant risk factor.",0.00004,0.00003,0.00002,0.00001,0,3000,2946.954813,2964.426877,2865.329513,2777.777778,"Approximately 1,500 to 3,000 depending on treatment regimen and additional supportive care needed.",Significantly affected due to chronic headaches and potential for vision impairment; many patients report difficulties in daily activities.,0.6,0.05,"Demonstrated efficacy in reducing intracranial pressure and managing symptoms in clinical trials; however, longterm studies are still ongoing.",Generally welltolerated; longterm safety data remains limited.,"Possible side effects include headache, nausea, and dizziness; serious events are rare but can include vision changes.","Most prevalent in adults aged 2050 years, particularly in women.",More common in females.,Monoclonal antibody therapy.,406000000,402400000,398800000,395200000,391600000,21928853.75,0,11928853.75,4024,22853868.19,7976,32933333.33,11856
Psoriatic Arthritis,"Joint pain, stiffness, swelling, fatigue, plantar fasciitis, reduced range of motion, skin lesions, nail changes",Approximately 0.1% to 0.3% of the population in the USA is affected; about 50% of people with psoriasis may develop psoriatic arthritis.,0.002,0.00199,0.00198,0.00197,0.00196,75000,73673.87033,74110.67194,71633.23782,69444.44444,"Estimated annual cost for TALTZ is approximately $70,000 to $80,000, depending on insurance coverage and patient copays.","Psoriatic arthritis significantly impacts quality of life due to chronic pain, functional impairment, and psychological burden; many patients report a reduced quality of life compared to healthy individuals.",0.3,0.13,"Clinical studies show that TALTZ can reduce signs and symptoms in 70% of patients, demonstrating strong efficacy in managing psoriatic arthritis.",Generally welltolerated; monitors for infections are recommended due to immunosuppressive effects but overall seen as safe for the majority of patients.,"Common adverse events include injection site reactions, upper respiratory infections, nausea, and potential risk of serious infections (approximately 12%).",Approved for adults aged 18 years and older.,"Affects both genders, but there is a slight male predominance in psoriatic arthritis prevalence.","Monoclonal antibody (specifically, IL17A inhibitor).",381740000,378360000,374980000,371600000,368220000,55123555992,748210.4,55239812253,745369.2,53184842407,742460.4,51353055556,739484
Pyruvate Kinase Deficiency,"Fatigue, jaundice, anemia, pale skin, shortness of breath, rapid heart rate, dark urine, enlarged spleen","Approximately 1 in 100,000 individuals in the USA; more common in specific ethnic groups (e.g., people of Mediterranean, Middle Eastern, and African descent)",0.00001,0,0.00001,0.00002,0.00003,150000,147347.7407,148221.3439,143266.4756,138888.8889,"Approximately $100,000 to $200,000, depending on individual patient needs and insurance coverage","Quality of life can be significantly affected by chronic anemia and fatigue; patients may require regular blood transfusions and monitoring, leading to additional impacts on daily life and activities",0.3,0.05,Clinical trials demonstrate a significant increase in hemoglobin levels and a reduction in transfusion requirements for patients with pyruvate kinase deficiency,Generally welltolerated; longterm safety data is still being compiled as it is a newer therapy,"Most common adverse events include headache, diarrhea, nausea, and fatigue","Primarily adults, but can also be diagnosed in children; ages 1865 years commonly affected",Affects both males and females equally,Small molecule (PYRUKYND is specifically a PK activator),331293333.3,328353333.3,325413333.3,322473333.3,319533333.3,1464459725,9938.799999,973379446.5,6567.066666,466208213.9,3254.133333,566208213.9,0
Rabies,"Fever, headache, confusion, agitation, paralysis, hydrophobia, hallucinations, seizures, and eventually coma or death.","Rabies is reported in about 1 to 3 cases annually in the USA, with higher incidence in certain animals.",0.000001,0.000009,0.000019,0.000029,0.000039,4500,4420.43222,4446.640316,4297.994269,4166.666667,"Costs may vary, but rabies postexposure prophylaxis can range from $3,000 to $6,000 depending on circumstances.",Rabies has a very poor quality of life outcome once symptoms appear; it is often fatal.,1,1,Highly effective when administered postexposure before symptoms develop.,"Generally safe when used appropriately; however, allergic reactions can occur.","Localized pain at the injection site, fever, headache, allergic reactions.",All age groups (most common in children due to higher exposure risks).,No significant gender predilection.,Monoclonal antibodies (immunoglobulins for postexposure treatment).,406000000,402400000,398800000,395200000,391600000,69993123.77,15834,51890513.83,11669.6,32566762.18,7577.2,14820000,3556.8
RelapsingRemitting Multiple Sclerosis (RRMS),"Fatigue, numbness, difficulty walking, vision problems, muscle spasms, cognitive changes","Approximately 2530 per 100,000 people in Italy",0.000275,0.000265,0.000255,0.000245,0.000235,21150,20776.03143,20899.20949,20200.57307,19583.33333,"Approximately 15,000 to 20,000","Significantly affected by the disease, with many patients reporting reduced physical and mental wellbeing",0.4,0.02,"High efficacy shown in clinical studies, particularly in reducing relapse rates and progression of disability",Generally welltolerated; safety profiles are monitored closely in clinical practice,"Common adverse events include injection site reactions, headache, and mild flulike symptoms",Most common in adults aged 2040 years,"More prevalent in females, with a femaletomale ratio of 23:1","Small molecules (more specifically, it is an oral sphingosine1phosphate receptor modulator)",196620000,194820000,193020000,191220000,189420000,959971075.6,46205.7,997538078.1,47730.9,994274226.4,49220.1,992352125,50673.3
Schistosomiasis,"Abdominal pain, diarrhea, bloody stool, liver damage, and urinary problems. Chronic schistosomiasis can lead to serious complications such as liver fibrosis and bladder cancer.","Approximately 1.5 million cases diagnosed in the USA annually, primarily among travelers and immigrants from endemic countries.",0.00002,0.00001,0,0.00001,0.00002,15,14.73477407,14.82213439,14.32664756,13.88888889,Approximately $10$20 for a single treatment course (may vary based on state and pharmacy pricing).,Quality of life can be significantly affected due to chronic symptoms and complications if left untreated; patients may experience pain and limitations in daily activities.,0.2,0.01,Approximately 8590% effective in treating schistosomiasis when administered as a single dose.,"Generally considered safe; however, caution is advised in those with severe liver impairment.","Common adverse events include dizziness, headache, fever, gastrointestinal discomfort, rash, and fatigue. Serious adverse events are rare.","All age groups; however, most prevalent in children and young adults due to risk factors associated with exposure.","Both genders are affected equally; however, risk factors may vary based on occupation or lifestyle.",Small molecule (antiparasitic agent).,369010909.1,365732121.2,362453333.3,359174545.5,355895757.6,108745.8475,7380.218182,54209.3065,3657.321212,55209.3065,0,49885.35354,3591.745455
